issue_date,country,title,sector,notice_type,download_link
"August 26, 2024",Cambodia,Cambodia: Urban Infrastructure Development Project,Urban,General Procurement Notice,https://www.aiib.org/en/projects/details/2024/_download/Cambodia/GPN_P000837_Procurement.pdf
"August 22, 2024",India,Mumbai Metro Line 5,Transport,Corrigendum to Tender Document,https://www.aiib.org/en/projects/details/2024/_download/India/Corrigendum-4-CA-241-5.pdf
"August 22, 2024",India,Mumbai Metro Line 5,Transport,Corrigendum to Tender Document,https://www.aiib.org/en/projects/details/2024/_download/India/Corrigendum-5-CA-239-2.pdf
"August 16, 2024",Sri Lanka,Reduction of Landslide Vulnerability by Mitigation Measures (RLVMM) Project,Other,Specific Procurement Notice,https://www.aiib.org/en/projects/details/2024/_download/Sri-Lanka/Updated-Paper-Advertisment-R-English-RLVMMP-6D6E-08.08.2024.pdf
"August 16, 2024",Cambodia,Integrated Water Resources Management Project,Water,Request for Expressions of Interest and Terms of Reference,https://www.aiib.org/en/projects/details/2024/_download/Cambodia/Integrated-Water-Resources-Management-Project.zip
"August 8, 2024",India,Mumbai Metro Line 5,Transport,Extension for the Submission of Tenders,https://www.aiib.org/en/projects/details/2024/_download/India/Corrigendum_4-CA-241.pdf
"August 8, 2024",India,Mumbai Metro Line 5,Transport,Extension for the Submission of Tenders,https://www.aiib.org/en/projects/details/2024/_download/India/Corrigendum-5-CA-239.pdf
"August 1, 2024",India,Mumbai Metro Line 5,Transport,Extension for the Submission of Tenders,https://www.aiib.org/en/projects/details/2024/_download/India/1-Draft-Corrigendum-for-approval-No.03-Note-Corrigendum-CA-239-1.pdf
"July 30, 2024",Bangladesh,Electricity Distribution Modernization (Rajshahi-Rangpur Divisions) Project,Energy,Addendum to Tender Document,https://www.aiib.org/en/projects/details/2024/_download/Bangladesh/Amend-3.pdf
"July 22, 2024",India,Mumbai Metro Line 5,Transport,Corrigendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Corrigendum_2_CA-241.pdf
"July 22, 2024",India,Mumbai Metro Line 5,Transport,Corrigendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Corrigendum_2_CA-239.pdf
"July 19, 2024",Cambodia,Urban Sustainable Water Supply Development,Water,General Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Cambodia/USWSDP_GPN_NOL_Revised.pdf
"July 17, 2024",Indonesia,Modernization of the Health System,Health Infrastructure,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Indonesia/Clean_P180811_SPN_Proc_of_Surg.pdf
"July 16, 2024",China,China: Yunnan Kunming Changshui Airport Expansion and Green Development Project,Transport,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/China/Yunnan-Kunming-Changshui-Airport-Expansion-and-Green-Development-Project_Contract_AwardGoods_Works_NCS.pdf
"July 16, 2024",Indonesia,Modernization of the Health System,Health Infrastructure,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Indonesia/Issued-SPN-Invasive-Cardiology.pdf
"July 15, 2024",Indonesia,Modernization of the Health System,Health Infrastructure,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Indonesia/Clean_SPN_Published.pdf
"July 12, 2024",China,Henan Flood Emergency Rehabilitation and Recovery Project,Water,Cancellation Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/China/Notice-for-Cancellation-of-Tender_EN_20240711-final.pdf
"July 3, 2024",Indonesia,Modernization of the Health System,Health Infrastructure,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Indonesia/Clean_P180811_SPN_Proc_of_RadiographyEquipment_02072024.pdf
"June 28, 2024",India,"Manipur Urban Road, Drainage and Asset Management Improvement Project",Transport,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Addendum-No-2-CSC-Procurement.pdf
"June 27, 2024",India,India: Kochi Metro Rail Project Phase II,Transport,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Contract-Award-Notice.zip
"June 27, 2024",India,Mumbai Metro Line 5,Transport,Corrigendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Corrigendum_2_CA-239.pdf
"June 27, 2024",India,Mumbai Metro Line 5,Transport,Corrigendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Corrigendum_2_CA-241.pdf
"June 27, 2024",Bangladesh,Electricity Distribution Modernization (Chattogram and Sylhet Divisions) Project,Energy,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Bangladesh/Final-SPN-for-MCEP.BREB.CSD-G-11-G-16.pdf
"June 18, 2024",China,Henan Flood Emergency Rehabilitation and Recovery Project,Water,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/China/Invitation-for-Tenders-for-JZSB201-under-Henan-Flood-Emergency-Rehabilitation-and-Recovery-Project.PDF
"June 13, 2024",Bangladesh,Electricity Distribution Modernization (Rajshahi-Rangpur Divisions) Project,Energy,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Bangladesh/SPN-_09.06.24_for-Publication.pdf
